Symbol,Price Change,Dividend Change,Volume Change,Price Volitility,Dividend Volitility,Volume Volitility,Stock Volitility Score,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Undefined,Sector_Utilities,Clusters
HEI,0.031980345426386905,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3
HFC,0.011186979812360878,0.0,-20000.0,4,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,2
HTGC,0.006018355124502882,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
HUN,0.013521966608390402,0.0,-20000.0,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2
IR,-0.016898613512064557,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3
J,-0.013532194037248849,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3
KN,0.009793466381651655,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,2
LEA,0.02093156203896911,0.0,-20000.0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1
LMND,-0.009261818431871164,0.0,-20000.0,4,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,4
LXU,0.0044122293319278074,0.0,-20000.0,3,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,5
MCI,0.0006709223282841063,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
MCK,-0.003495740578496533,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3
MED,-0.07201449485197514,0.0,-20000.0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3
MFG,-0.001854292785032413,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
MUFG,-0.001828091006235834,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
MXF,-0.00224638328378856,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
NOMD,-0.0020984739798983686,0.0,-20000.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3
NRGX,0.0034516970686231945,0.0,-20000.0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,5
NVST,0.0018085363869353734,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,3
NXN,0.020770441441138238,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,4
NXRT,-0.01723229794789076,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3
OCA,0.014291703701019287,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
OCFT,0.005490471946446014,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,2
OMF,0.011329269534923352,0.0,-20000.0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
OPP,0.0032842897576322114,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PCI,0.002421901786202369,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PCM,-0.002194554385219719,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PCPC,-0.006950684535650735,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PFO,0.0021117871487511,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PG,-0.047564866031742786,0.0,-20000.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3
PICC,0.0162999868392943,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
PK,0.02211409264450481,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,5
PSFE,0.057504969835281486,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,2
PTR,0.04621798413911217,0.0,-20000.0,4,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,2
RBAC,0.024542727121492657,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,4
