Price Change,Dividend Change,Volume Change,Price Volitility,Dividend Volitility,Volume Volitility,Stock Volitility Score,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Undefined,Sector_Utilities
-0.04170490660969366,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
0.08823749206075275,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
0.0007084167168716364,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.0005709189278910931,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
-0.04858756034324629,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0
-0.014248829956077819,0.0,-20000.0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
0.0032928883684018727,0.0,-20000.0,3,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0
0.008071244697544824,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0
0.002399889628092744,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.02100317247393289,0.0,-20000.0,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0
-0.0015287101915852546,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
-0.01036537593087096,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0
0.14211360455695596,0.0,-20000.0,4,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
0.0008979550812685784,0.0,-20000.0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0
0.0039284972986322695,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0
0.0030000209808347758,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.005844603299527057,0.0,-20000.0,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0
0.00906478072241907,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.044157378325023006,0.0,-20000.0,4,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0
0.012956519116557813,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0
0.1982015269671298,0.0,-20000.0,4,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0
0.010501101176879898,0.0,-20000.0,3,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0
-0.22020294706700067,0.0,-20000.0,4,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0
0.014747040649019756,0.0,-20000.0,4,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
-0.0032893444985399914,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.03222010277670398,0.0,-20000.0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
0.0014035422049059523,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.004300828215117563,0.0,-20000.0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1
0.003043942492959939,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0
0.029142883845737988,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
-0.0015334798215070474,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0
0.018464284283774172,0.0,-20000.0,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0
0.007887924899487905,0.0,-20000.0,3,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0
0.0154943016228941,0.0,-20000.0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0
-0.012902700598077663,0.0,-20000.0,2,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0
0.03206004959577466,0.0,-20000.0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
0.041823638037894045,0.0,-20000.0,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0
-0.002192098989858357,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.032283779105755674,0.0,-20000.0,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0
-0.0006843366120988141,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.005532291130081301,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
0.013004028920009765,0.0,-20000.0,3,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
-3.559128034014846e-05,0.0,-20000.0,2,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0
-0.03620731574945551,0.0,-20000.0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
